epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,669.635,0.40478,0.35674,0.82917,0.97119,0.97399,0.98636,0.9448,0.31521,0.24779,0.77769,0.0005941,0.0005941,0.0005941
43,685.342,0.40057,0.35924,0.82925,0.97277,0.97262,0.98511,0.94099,0.31899,0.24787,0.7777,0.0005842,0.0005842,0.0005842
44,701.022,0.39987,0.36294,0.82508,0.96743,0.99062,0.98878,0.949,0.31427,0.25313,0.77689,0.0005743,0.0005743,0.0005743
45,716.856,0.39683,0.34419,0.83114,0.96273,0.98353,0.99157,0.94169,0.33721,0.25756,0.77887,0.0005644,0.0005644,0.0005644
46,732.548,0.3923,0.35417,0.82186,0.96404,0.9848,0.98742,0.94209,0.31716,0.24542,0.77651,0.0005545,0.0005545,0.0005545
47,748.422,0.39061,0.35139,0.8243,0.97573,0.98548,0.98574,0.93665,0.30971,0.25609,0.77669,0.0005446,0.0005446,0.0005446
48,764.113,0.37488,0.32643,0.8189,0.97479,0.99062,0.99213,0.95124,0.31028,0.24831,0.7771,0.0005347,0.0005347,0.0005347
49,779.974,0.37194,0.31109,0.80935,0.98764,0.98845,0.99248,0.95143,0.3096,0.24662,0.77802,0.0005248,0.0005248,0.0005248
50,795.861,0.37076,0.30125,0.8208,0.97939,0.98719,0.99185,0.94835,0.31026,0.24395,0.77721,0.0005149,0.0005149,0.0005149
51,811.602,0.37159,0.31903,0.81943,0.98833,0.97607,0.9941,0.95132,0.3071,0.23592,0.777,0.000505,0.000505,0.000505
52,827.531,0.37649,0.30808,0.81947,0.98747,0.97902,0.9906,0.95142,0.31053,0.24532,0.77714,0.0004951,0.0004951,0.0004951
53,843.184,0.38957,0.31739,0.82382,0.98068,0.98841,0.99145,0.94605,0.30348,0.23986,0.77527,0.0004852,0.0004852,0.0004852
54,858.842,0.37988,0.31108,0.82567,0.98699,0.98089,0.99209,0.95306,0.30834,0.23683,0.77383,0.0004753,0.0004753,0.0004753
55,874.647,0.36979,0.32217,0.8147,0.98696,0.98715,0.99352,0.95317,0.31683,0.23876,0.77771,0.0004654,0.0004654,0.0004654
56,890.501,0.38402,0.30906,0.81519,0.98526,0.98496,0.99241,0.94416,0.31445,0.23542,0.77566,0.0004555,0.0004555,0.0004555
57,906.442,0.35596,0.29425,0.80714,0.99164,0.98095,0.99276,0.9533,0.30901,0.23467,0.77576,0.0004456,0.0004456,0.0004456
58,922.407,0.3654,0.30783,0.81746,0.9936,0.98744,0.9943,0.95763,0.29938,0.23362,0.77476,0.0004357,0.0004357,0.0004357
59,938.357,0.35074,0.2915,0.81807,0.97766,0.99278,0.99159,0.95721,0.29913,0.22377,0.77534,0.0004258,0.0004258,0.0004258
60,954.178,0.36211,0.28259,0.81536,0.97957,0.9924,0.99114,0.95945,0.30324,0.22762,0.7753,0.0004159,0.0004159,0.0004159
61,970.071,0.34922,0.29707,0.81316,0.98818,0.99084,0.9933,0.96059,0.29642,0.22221,0.77396,0.000406,0.000406,0.000406
62,986.264,0.3585,0.2858,0.81421,0.99208,0.98914,0.99446,0.96223,0.30472,0.2103,0.77424,0.0003961,0.0003961,0.0003961
63,1002.13,0.35211,0.29205,0.81777,0.98897,0.99255,0.99441,0.95962,0.29789,0.20873,0.77183,0.0003862,0.0003862,0.0003862
64,1017.84,0.34682,0.29566,0.81574,0.98423,0.992,0.9928,0.96024,0.30166,0.21456,0.77283,0.0003763,0.0003763,0.0003763
65,1033.54,0.34665,0.27522,0.80561,0.97583,0.99031,0.99215,0.95191,0.30757,0.22403,0.77347,0.0003664,0.0003664,0.0003664
66,1049.27,0.34702,0.29209,0.8133,0.97353,0.98694,0.98953,0.95184,0.31165,0.23774,0.77443,0.0003565,0.0003565,0.0003565
67,1065.08,0.34375,0.28182,0.81276,0.97202,0.98649,0.98551,0.95227,0.29737,0.22971,0.77405,0.0003466,0.0003466,0.0003466
68,1080.8,0.34707,0.27815,0.81021,0.97465,0.98461,0.98575,0.94786,0.31152,0.24576,0.77539,0.0003367,0.0003367,0.0003367
69,1096.45,0.34206,0.28871,0.81022,0.97555,0.98845,0.98863,0.94887,0.3007,0.22938,0.77504,0.0003268,0.0003268,0.0003268
70,1112.14,0.33048,0.27833,0.80847,0.98597,0.9914,0.99153,0.95543,0.29843,0.21784,0.77571,0.0003169,0.0003169,0.0003169
71,1127.83,0.32744,0.26758,0.80792,0.98885,0.99327,0.99164,0.96097,0.29528,0.21893,0.77447,0.000307,0.000307,0.000307
72,1143.66,0.33177,0.27733,0.80347,0.98805,0.98907,0.99111,0.96219,0.30025,0.21913,0.7748,0.0002971,0.0002971,0.0002971
73,1159.27,0.33268,0.26651,0.81125,0.97751,0.9863,0.99096,0.96181,0.29367,0.2265,0.77426,0.0002872,0.0002872,0.0002872
74,1175,0.32864,0.27159,0.80896,0.9737,0.98827,0.99099,0.96369,0.29301,0.22103,0.77435,0.0002773,0.0002773,0.0002773
75,1190.89,0.33421,0.26312,0.81202,0.97444,0.9864,0.99004,0.96158,0.30136,0.22712,0.77459,0.0002674,0.0002674,0.0002674
76,1206.53,0.33516,0.26298,0.80747,0.97825,0.98755,0.99173,0.96067,0.2897,0.22416,0.77299,0.0002575,0.0002575,0.0002575
77,1222.35,0.31827,0.25918,0.80936,0.9887,0.98867,0.99166,0.96289,0.29074,0.21603,0.77236,0.0002476,0.0002476,0.0002476
78,1238.04,0.32199,0.25957,0.8044,0.99007,0.98857,0.99197,0.95952,0.28933,0.21075,0.77182,0.0002377,0.0002377,0.0002377
79,1253.75,0.33891,0.27088,0.81226,0.98597,0.98654,0.99168,0.96181,0.29215,0.21587,0.77159,0.0002278,0.0002278,0.0002278
80,1269.5,0.32727,0.26878,0.80971,0.98014,0.98973,0.98997,0.96738,0.29029,0.20626,0.77208,0.0002179,0.0002179,0.0002179
81,1285.36,0.33106,0.27635,0.81879,0.97832,0.99145,0.99042,0.96233,0.2889,0.20244,0.77165,0.000208,0.000208,0.000208
82,1301.27,0.32775,0.26452,0.81254,0.97754,0.99201,0.99209,0.9602,0.2879,0.20365,0.77235,0.0001981,0.0001981,0.0001981
83,1316.98,0.31878,0.2605,0.80352,0.97965,0.99278,0.9924,0.96532,0.28809,0.19832,0.77224,0.0001882,0.0001882,0.0001882
84,1332.72,0.31817,0.24921,0.80879,0.9924,0.99246,0.99451,0.97002,0.28675,0.19361,0.77207,0.0001783,0.0001783,0.0001783
85,1348.77,0.29961,0.23687,0.80136,0.99592,0.99019,0.99451,0.96597,0.28883,0.19564,0.77216,0.0001684,0.0001684,0.0001684
86,1364.58,0.30932,0.24967,0.80846,0.97861,0.99142,0.99218,0.96561,0.28694,0.19988,0.77195,0.0001585,0.0001585,0.0001585
87,1380.53,0.31821,0.25356,0.8089,0.97862,0.99226,0.99215,0.96184,0.29085,0.20579,0.77268,0.0001486,0.0001486,0.0001486
88,1396.31,0.31016,0.24053,0.80319,0.98144,0.99082,0.99239,0.96175,0.2881,0.20471,0.77207,0.0001387,0.0001387,0.0001387
89,1412.16,0.31459,0.24555,0.80981,0.98238,0.99032,0.99238,0.95898,0.28863,0.19819,0.77249,0.0001288,0.0001288,0.0001288
90,1427.92,0.30479,0.25068,0.80219,0.98174,0.9899,0.99229,0.96145,0.2899,0.2016,0.7725,0.0001189,0.0001189,0.0001189
91,1445.24,0.26441,0.21148,0.7765,0.98175,0.99062,0.9918,0.96382,0.29174,0.19418,0.77098,0.000109,0.000109,0.000109
92,1461.03,0.26249,0.20561,0.77495,0.98139,0.99144,0.98673,0.95301,0.29778,0.19453,0.77112,9.91e-05,9.91e-05,9.91e-05
93,1476.5,0.26233,0.19375,0.78437,0.98078,0.99181,0.98878,0.96147,0.29224,0.19302,0.771,8.92e-05,8.92e-05,8.92e-05
94,1491.92,0.25768,0.19288,0.78212,0.98166,0.99144,0.99306,0.96252,0.29099,0.18974,0.77105,7.93e-05,7.93e-05,7.93e-05
95,1507.33,0.2516,0.19247,0.77163,0.98225,0.99121,0.99342,0.96178,0.2953,0.18835,0.77139,6.94e-05,6.94e-05,6.94e-05
96,1522.78,0.24931,0.19148,0.7745,0.98287,0.99137,0.9938,0.9629,0.29517,0.18975,0.77133,5.95e-05,5.95e-05,5.95e-05
97,1538.33,0.245,0.18767,0.77611,0.98353,0.99149,0.99405,0.96164,0.29352,0.18811,0.77145,4.96e-05,4.96e-05,4.96e-05
98,1553.76,0.25018,0.19926,0.77542,0.99057,0.9915,0.99436,0.96181,0.29222,0.18586,0.77146,3.97e-05,3.97e-05,3.97e-05
99,1569.21,0.24475,0.19264,0.77868,0.99198,0.99171,0.99447,0.9605,0.28792,0.18301,0.77115,2.98e-05,2.98e-05,2.98e-05
100,1584.66,0.24236,0.18822,0.7775,0.99284,0.9918,0.99447,0.96284,0.28834,0.18213,0.77108,1.99e-05,1.99e-05,1.99e-05
