epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3438.22,0.91905,0.63902,1.32073,0.87377,0.86963,0.89756,0.53334,1.51729,0.74577,2.05718,0.0005941,0.0005941,0.0005941
43,3520.07,0.92287,0.64005,1.33477,0.86941,0.8785,0.90051,0.53747,1.49703,0.72565,1.9859,0.0005842,0.0005842,0.0005842
44,3602.03,0.93001,0.64486,1.3229,0.84899,0.8754,0.87105,0.51775,1.57537,0.73104,2.08794,0.0005743,0.0005743,0.0005743
45,3683.93,0.91473,0.61672,1.3229,0.90265,0.87176,0.90179,0.54158,1.52289,0.77637,2.00978,0.0005644,0.0005644,0.0005644
46,3765.57,0.90842,0.61914,1.32102,0.89112,0.88147,0.91535,0.53889,1.514,0.70171,1.9959,0.0005545,0.0005545,0.0005545
47,3847.57,0.90126,0.60683,1.30795,0.89665,0.91357,0.92001,0.56495,1.39748,0.63058,1.85246,0.0005446,0.0005446,0.0005446
48,3929.16,0.90068,0.60187,1.31476,0.902,0.89049,0.90653,0.55282,1.44993,0.70222,1.95905,0.0005347,0.0005347,0.0005347
49,4010.9,0.90976,0.61948,1.32199,0.91237,0.93012,0.9364,0.5619,1.46262,0.6285,1.93165,0.0005248,0.0005248,0.0005248
50,4092.49,0.87708,0.59563,1.29204,0.8433,0.851,0.88069,0.54477,1.47453,0.77916,1.9161,0.0005149,0.0005149,0.0005149
51,4174.16,0.88553,0.60603,1.29291,0.90735,0.92241,0.93037,0.57263,1.41141,0.6588,1.89578,0.000505,0.000505,0.000505
52,4256.19,0.8774,0.59077,1.29586,0.884,0.93122,0.93682,0.56797,1.42902,0.65127,1.93063,0.0004951,0.0004951,0.0004951
53,4337.73,0.8828,0.59934,1.3069,0.91365,0.87769,0.91606,0.55929,1.44892,0.67434,1.93282,0.0004852,0.0004852,0.0004852
54,4419.38,0.84815,0.55549,1.26484,0.91241,0.89065,0.90648,0.55052,1.4569,0.67763,1.94377,0.0004753,0.0004753,0.0004753
55,4500.96,0.85836,0.57349,1.27414,0.91105,0.90732,0.90733,0.55288,1.43762,0.64299,1.94595,0.0004654,0.0004654,0.0004654
56,4582.56,0.84823,0.57368,1.2727,0.89462,0.88391,0.91814,0.55683,1.45827,0.69768,1.96275,0.0004555,0.0004555,0.0004555
57,4664.27,0.86662,0.57996,1.28948,0.90029,0.87794,0.92514,0.56239,1.46704,0.70441,1.98837,0.0004456,0.0004456,0.0004456
58,4745.83,0.84676,0.561,1.27713,0.88214,0.88562,0.90667,0.55032,1.44689,0.69566,1.94664,0.0004357,0.0004357,0.0004357
59,4827.32,0.84291,0.55354,1.27455,0.87956,0.87451,0.90078,0.55803,1.42966,0.70018,1.93236,0.0004258,0.0004258,0.0004258
60,4908.99,0.83029,0.55853,1.2618,0.9025,0.89177,0.91273,0.54961,1.43772,0.68676,1.97155,0.0004159,0.0004159,0.0004159
61,4990.59,0.83299,0.55878,1.26372,0.91041,0.88311,0.91499,0.54717,1.46105,0.68341,1.99889,0.000406,0.000406,0.000406
62,5072.39,0.83332,0.56419,1.25958,0.9061,0.91019,0.93289,0.57022,1.42337,0.64489,1.9581,0.0003961,0.0003961,0.0003961
63,5154.07,0.82174,0.53117,1.24267,0.92657,0.87551,0.90584,0.55877,1.42034,0.6935,1.94379,0.0003862,0.0003862,0.0003862
64,5235.71,0.82438,0.54568,1.24903,0.89116,0.90769,0.91728,0.5488,1.424,0.65386,1.97756,0.0003763,0.0003763,0.0003763
65,5317.24,0.81736,0.54117,1.25988,0.91841,0.89162,0.91966,0.56016,1.48323,0.67019,2.01981,0.0003664,0.0003664,0.0003664
66,5398.95,0.81186,0.54407,1.24077,0.90559,0.9138,0.9248,0.56504,1.42672,0.6837,1.96172,0.0003565,0.0003565,0.0003565
67,5480.74,0.8013,0.54029,1.24032,0.91162,0.90218,0.93048,0.57511,1.44769,0.64452,1.99514,0.0003466,0.0003466,0.0003466
68,5562.65,0.79977,0.53131,1.23158,0.9031,0.89279,0.92243,0.56371,1.43196,0.67194,1.97911,0.0003367,0.0003367,0.0003367
69,5644.29,0.78654,0.51427,1.22579,0.90778,0.89639,0.91523,0.56441,1.44092,0.65216,2.01746,0.0003268,0.0003268,0.0003268
70,5725.89,0.78928,0.50826,1.2249,0.89865,0.89922,0.91991,0.5654,1.43683,0.6431,1.98784,0.0003169,0.0003169,0.0003169
71,5807.53,0.78711,0.51558,1.23263,0.91408,0.91158,0.92758,0.54978,1.48091,0.64486,2.03876,0.000307,0.000307,0.000307
72,5889.29,0.7725,0.5184,1.20855,0.90803,0.89193,0.91038,0.55371,1.43315,0.65142,1.98182,0.0002971,0.0002971,0.0002971
73,5970.78,0.7756,0.50927,1.21643,0.88409,0.91896,0.91458,0.55667,1.43345,0.62571,2.03348,0.0002872,0.0002872,0.0002872
74,6052.28,0.77413,0.50729,1.22627,0.90287,0.91087,0.91844,0.55839,1.45572,0.64205,2.03642,0.0002773,0.0002773,0.0002773
75,6133.63,0.76705,0.49966,1.21748,0.89383,0.91717,0.91345,0.55877,1.44841,0.64461,2.02988,0.0002674,0.0002674,0.0002674
76,6215.15,0.752,0.49433,1.21055,0.90957,0.89045,0.9186,0.57566,1.36268,0.65348,1.96539,0.0002575,0.0002575,0.0002575
77,6296.84,0.75842,0.51042,1.21375,0.89821,0.8989,0.91755,0.5611,1.41228,0.63856,2.00973,0.0002476,0.0002476,0.0002476
78,6378.34,0.75864,0.5075,1.21291,0.93366,0.88035,0.92299,0.56846,1.39948,0.63299,2.03155,0.0002377,0.0002377,0.0002377
79,6459.84,0.73842,0.48913,1.20152,0.90498,0.88655,0.90949,0.56093,1.44426,0.64754,2.05803,0.0002278,0.0002278,0.0002278
80,6541.37,0.73108,0.48529,1.1923,0.90035,0.90204,0.9156,0.55795,1.47955,0.6598,2.11413,0.0002179,0.0002179,0.0002179
81,6622.9,0.72906,0.47224,1.18973,0.89354,0.89718,0.89798,0.55346,1.45248,0.65802,2.08245,0.000208,0.000208,0.000208
82,6704.58,0.74665,0.49035,1.20528,0.90558,0.90697,0.9177,0.55907,1.40353,0.63523,1.9977,0.0001981,0.0001981,0.0001981
83,6786.19,0.7167,0.47406,1.18151,0.8967,0.90901,0.91425,0.55113,1.4328,0.67006,2.09162,0.0001882,0.0001882,0.0001882
84,6867.56,0.7292,0.47532,1.18357,0.90429,0.90538,0.91762,0.55588,1.42344,0.63915,2.08007,0.0001783,0.0001783,0.0001783
85,6948.99,0.71866,0.47039,1.18243,0.90541,0.89845,0.90787,0.55366,1.44949,0.62942,2.09158,0.0001684,0.0001684,0.0001684
86,7030.45,0.7118,0.47447,1.18634,0.89494,0.90659,0.90877,0.5621,1.42184,0.62729,2.06601,0.0001585,0.0001585,0.0001585
87,7112.12,0.71077,0.46508,1.17827,0.91448,0.89689,0.92108,0.55385,1.42457,0.63962,2.07438,0.0001486,0.0001486,0.0001486
88,7193.61,0.7217,0.46501,1.18648,0.9064,0.90774,0.91831,0.55822,1.43444,0.63596,2.0873,0.0001387,0.0001387,0.0001387
89,7275.01,0.69927,0.46316,1.1649,0.89467,0.91031,0.92156,0.55986,1.44177,0.6388,2.08534,0.0001288,0.0001288,0.0001288
90,7356.42,0.69782,0.44534,1.16895,0.914,0.88576,0.91742,0.56096,1.42846,0.62118,2.06154,0.0001189,0.0001189,0.0001189
91,7439.35,0.66692,0.35801,1.16927,0.90574,0.8953,0.92569,0.57076,1.4011,0.62028,2.04219,0.000109,0.000109,0.000109
92,7520.64,0.65427,0.35039,1.17845,0.90931,0.90188,0.92375,0.56187,1.43167,0.62974,2.09164,9.91e-05,9.91e-05,9.91e-05
93,7601.62,0.63789,0.34714,1.15706,0.90491,0.88411,0.91194,0.55679,1.44682,0.637,2.1214,8.92e-05,8.92e-05,8.92e-05
94,7682.59,0.63239,0.34692,1.14779,0.91094,0.89492,0.91402,0.56204,1.42773,0.63674,2.13303,7.93e-05,7.93e-05,7.93e-05
95,7763.57,0.62837,0.33813,1.14304,0.89072,0.90337,0.91043,0.55746,1.43345,0.61794,2.1355,6.94e-05,6.94e-05,6.94e-05
96,7844.52,0.62295,0.33098,1.14112,0.89795,0.89535,0.90772,0.55914,1.45241,0.62902,2.16151,5.95e-05,5.95e-05,5.95e-05
97,7925.69,0.61032,0.32748,1.12747,0.90932,0.88613,0.9071,0.561,1.41552,0.62587,2.12234,4.96e-05,4.96e-05,4.96e-05
98,8006.69,0.60693,0.32459,1.12811,0.9243,0.87762,0.91204,0.56576,1.42257,0.6224,2.14046,3.97e-05,3.97e-05,3.97e-05
99,8087.69,0.59842,0.32728,1.12391,0.90909,0.87885,0.9043,0.55719,1.43048,0.63165,2.16778,2.98e-05,2.98e-05,2.98e-05
100,8168.68,0.60824,0.33143,1.13249,0.9061,0.88475,0.90372,0.56278,1.41746,0.62478,2.15045,1.99e-05,1.99e-05,1.99e-05
